Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
7206,1c26,"WR OAPD Tac 2","D","Police Tac 2","Law Tac","Burnet County - Lake Area Communities"
7209,1c29,"GS PD TAC","D","Granite Shoals PD","Law Tac","Burnet County - Lake Area Communities"
7210,1c2a,"Burnet PD Tac","D","Police Tactical","Law Tac","Burnet County - Burnet"
7211,1c2b,"Burnet PD Tac ","D","Police Tactical","Law Tac","Burnet County - Burnet"
7214,1c2e,"CWS PD TAC 1","D","Cottonwood Shores Police","Law Tac","Burnet County - Lake Area Communities"
7220,1c34,"Burnet F/EMS S","D","Fire/EMS South","Fire Dispatch","Burnet County - Fire/EMS"
7221,1c35,"Burnet F/EMS 1","D","Fire/EMS 1 South","Fire-Tac","Burnet County - Fire/EMS"
7222,1c36,"Burnet F/EMS 2","D","Fire/EMS 2 South","Fire-Tac","Burnet County - Fire/EMS"
7223,1c37,"Burnet F/EMS 3","D","Fire/EMS 3 South","Fire-Tac","Burnet County - Fire/EMS"
7224,1c38,"Burnet F/EMS 4","D","Fire/EMS 4 South","Fire-Tac","Burnet County - Fire/EMS"
7225,1c39,"Burnet F/EMS N","D","Fire/EMS North (simulcasts 154.415)","Fire Dispatch","Burnet County - Fire/EMS"
7226,1c3a,"Burnet F/EMS 5","D","Fire/EMS 5 North","Fire-Tac","Burnet County - Fire/EMS"
7227,1c3b,"Burnet F/EMS 6","D","Fire/EMS 6 North","Fire-Tac","Burnet County - Fire/EMS"
7228,1c3c,"Burnet F/EMS 7","D","Fire/EMS 7 North","Fire-Tac","Burnet County - Fire/EMS"
7229,1c3d,"Burnet F/EMS 8","D","Fire/EMS 8 North","Fire-Tac","Burnet County - Fire/EMS"
7230,1c3e,"Bertram VFD Tac1","D","Bertram VFD Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7231,1c3f,"Bertram VFD Tac2","D","Bertram VFD Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7232,1c40,"Briggs VFD Tac 1","D","Briggs VFD Tactical 1 (now NEBU)","Fire-Tac","Burnet County - Fire/EMS"
7233,1c41,"Briggs VFD Tac 2","D","Briggs VFD Tactical 2 (now NEBU)","Fire-Tac","Burnet County - Fire/EMS"
7234,1c42,"Burnet FD Tac 1","D","Burnet City Fire Dept Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7235,1c43,"Burnet FD Tac 2","D","Burnet City Fire Dept Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7236,1c44,"Burn Co VFD Tac1","D","Burnet County VFD Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7237,1c45,"Burn Co VFD Tac2","D","Burnet County VFD Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7238,1c46,"Cassie VFD Tac 1","D","Cassie VFD Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7239,1c47,"Cassie VFD Tac 2","D","Cassie VFD Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7240,1c48,"CWS VFD Tac 1","D","Cottonwood Shores VFD Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7241,1c49,"CWS VFD Tac 2","D","Cottonwood Shores VFD Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7242,1c4a,"ELB VFD Tac 1","D","East Lake Buchanan VFD Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7243,1c4b,"ELB VFD Tac 2","D","East Lake Buchanan VFD Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7244,1c4c,"Granite FD Tac 1","D","Granite Shoals Fire Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7245,1c4d,"Granite FD Tac 2","D","Granite Shoals Fire Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7246,1c4e,"HS Bay FD Tac 1","D","Horseshoe Bay Fire Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7247,1c4f,"HS Bay FD Tac 2","D","Horseshoe Bay Fire Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7248,1c50,"Hoover VFD Tac 1","D","Hoover Valley VFD Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7249,1c51,"Hoover VFD Tac 2","D","Hoover Valley VFD Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7250,1c52,"MF City FD Tac 1","D","Marble Falls Fire and Rescue Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7251,1c53,"MF City FD Tac 2","D","Marble Falls Fire and Rescue Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7252,1c54,"MFA VFD Tac 1","D","Marble Falls Area VFD Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7253,1c55,"MFA VFD Tac 2","D","Marble Falls Area VFD Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7254,1c56,"MFA EMS Tac 1","D","Marble Falls Area EMS Tactical 1","EMS-Tac","Burnet County - Fire/EMS"
7255,1c57,"MFA EMS Tac 2","D","Marble Falls Area EMS Tactical 2","EMS-Tac","Burnet County - Fire/EMS"
7256,1c58,"NEBU VFD Tac 1","D","Northeast Burnet Co. VFD Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7257,1c59,"NEBU VFD Tac 2","D","Northeast Burnet Co. VFD Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7258,1c5a,"Spicewd FD Tac 1","D","Spicewood Fire Tactical 1","Fire-Tac","Burnet County - Fire/EMS"
7259,1c5b,"Spicewd FD Tac 2","D","Spicewood Fire Tactical 2","Fire-Tac","Burnet County - Fire/EMS"
7265,1c61,"WR LE 01","D","Law Enforcement 1","Interop","Western Region Interoperability"
7303,1c87,"WR PS 01","D","Public Safety 1","Interop","Western Region Interoperability"
7304,1c88,"WR PS 02","D","Public Safety 2","Interop","Western Region Interoperability"
7305,1c89,"WR PS 03","D","Public Safety 3","Interop","Western Region Interoperability"
7306,1c8a,"WR PS 04","D","Public Safety 4","Interop","Western Region Interoperability"
7307,1c8b,"WR PS 05","D","Public Safety 5","Interop","Western Region Interoperability"
7308,1c8c,"WR PS 06","D","Public Safety 6","Interop","Western Region Interoperability"
7309,1c8d,"WR PS 07","D","Public Safety 7","Interop","Western Region Interoperability"
7310,1c8e,"WR PS 08","D","Public Safety 8","Interop","Western Region Interoperability"
7311,1c8f,"WR PS 09","D","Public Safety 9","Interop","Western Region Interoperability"
7312,1c90,"WR PS 10","D","Public Safety 10","Interop","Western Region Interoperability"
7313,1c91,"WR PS 11","D","Public Safety 11","Interop","Western Region Interoperability"
7314,1c92,"WR PS 12","D","Public Safety 12","Interop","Western Region Interoperability"
7315,1c93,"WR PS 13","D","Public Safety 13","Interop","Western Region Interoperability"
7316,1c94,"WR PS 14","D","Public Safety 14","Interop","Western Region Interoperability"
7317,1c95,"WR PS 15","D","Public Safety 15","Interop","Western Region Interoperability"
7334,1ca6,"WR HELO 1","D","Helo 1","Interop","Western Region Interoperability"
7335,1ca7,"WR HELO 2","D","Helo 2","Interop","Western Region Interoperability"
7342,1cae,"Burnet ISD Event","D","Burnet ISD Events","Schools","Burnet County - Burnet"
7348,1cb4,"BSW MarbFalls ER","D","Baylor Scott and White Marble Falls ER","Hospital","Burnet County - Marble Falls"
7350,1cb6,"WR HOSP ALL","D","Hospitals","Interop","Western Region Interoperability"
7352,1cb8,"WR EMERG","D","Emergency","Emergency Ops","Western Region Interoperability"
7353,1cb9,"DPS Austin West","D","DPS Austin (Western Region Counties)","Law Dispatch","Texas DPS Region 6B Austin"
7354,1cba,"DPS Austin West2","D","DPS Austin (Western Region Counties) Ch. 2","Law Tac","Texas DPS Region 6B Austin"
7355,1cbb,"DPS Austin West3","D","DPS Austin (Western Region Counties) Ch 3","Law Tac","Texas DPS Region 6B Austin"
7400,1ce8,"TXDOT AusDist","D","Austin District","Public Works","Texas Dept of Transportation - Austin District"
7401,1ce9,"TXDOT Bastrop","D","Bastrop County","Public Works","Texas Dept of Transportation - Austin District"
7402,1cea,"TXDOT Lee","D","Lee County","Public Works","Texas Dept of Transportation - Austin District"
7403,1ceb,"TXDOT Williamson","D","Williamson County","Public Works","Texas Dept of Transportation - Austin District"
7404,1cec,"TXDOT Blanco","D","Blanco County","Public Works","Texas Dept of Transportation - Austin District"
7405,1ced,"TXDOT Burnet","D","Burnet County","Public Works","Texas Dept of Transportation - Austin District"
7406,1cee,"TXDOT Fred","D","Gillespie County","Public Works","Texas Dept of Transportation - Austin District"
7407,1cef,"TXDOT Llano","D","Llano County","Public Works","Texas Dept of Transportation - Austin District"
7408,1cf0,"TXDOT Mason","D","Mason County ","Public Works","Texas Dept of Transportation - Austin District"
7409,1cf1,"TXDOT Gtown","D","Georgetown","Public Works","Texas Dept of Transportation - Austin District"
7410,1cf2,"TXDOT Trav C","D","Travis County Central","Public Works","Texas Dept of Transportation - Austin District"
7411,1cf3,"TXDOT Trav N","D","Travis County North ","Public Works","Texas Dept of Transportation - Austin District"
7412,1cf4,"TXDOT Trav E","D","Travis County East","Public Works","Texas Dept of Transportation - Austin District"
7413,1cf5,"TXDOT Trav S","D","Travis County South","Public Works","Texas Dept of Transportation - Austin District"
7414,1cf6,"TXDOT Hero 1","DE","Hero 1","Public Works","Texas Dept of Transportation - Austin District"
7415,1cf7,"TXDOT Crew 1","D","Work Crew 1","Public Works","Texas Dept of Transportation - Austin District"
7416,1cf8,"TXDOT Crew 2","D","Work Crew 2","Public Works","Texas Dept of Transportation - Austin District"
7417,1cf9,"TXDOT Hero 2","DE","Hero 2","Public Works","Texas Dept of Transportation - Austin District"
7418,1cfa,"TXDOT Sign 1","D","Sign 1","Public Works","Texas Dept of Transportation - Austin District"
7419,1cfb,"TXDOT Sign 2","D","Sign 2","Public Works","Texas Dept of Transportation - Austin District"
7420,1cfc,"TXDOT Caldwell","D","Caldwell County","Public Works","Texas Dept of Transportation - Austin District"
7421,1cfd,"TXDOT SM","D","SM","Public Works","Texas Dept of Transportation - Austin District"
7422,1cfe,"TXDOT RM 1","D","RM 1","Public Works","Texas Dept of Transportation - Austin District"
7423,1cff,"TXDOT RM 2","D","RM 2","Public Works","Texas Dept of Transportation - Austin District"
7424,1d00,"TXDOT Hero SUP","DE","Hero Supervisors","Public Works","Texas Dept of Transportation - Austin District"
7425,1d01,"TXDOT Hero 3","DE","Hero 3","Public Works","Texas Dept of Transportation - Austin District"
7439,1d0f,"TXDOT Event 1","D","Events 1","Public Works","Texas Dept of Transportation - Austin District"
7440,1d10,"TXDOT Event 2","D","Events 2","Public Works","Texas Dept of Transportation - Austin District"
7441,1d11,"TXDOT Event 3","D","Events 3","Public Works","Texas Dept of Transportation - Austin District"
